NAME,AMOUNT__C,ASSISTANCE_TYPE__C,CATEGORY__C,DATE_PAID__C,EXPENSE_STATUS__C,EXT_HOUSEHOLD__C,VENDOR__C,EXTERNAL_ID__C
prevention- rental arrears,1066.75,,Housing,11/27/18,Paid,SHFS-TFC0000524952,,a0z610000044TVmAAM
Bus,4.0,,Other Assistance,11/29/19,Paid,SHFS-TFC0000524952,,a0z4N000006iHsQQAU
Bus,65.0,,Other Assistance,11/05/19,Paid,SHFS-TFC0000524952,,a0z4N000006iHsRQAU
NES Arrears,836.53,,Housing,03/12/21,Paid,SHFS-TFC0000524963,NES,a0z4N000007oT1hQAE
Birth Certificate_Neveah,45.25,,Other Assistance,01/29/21,Paid,SHFS-TFC0000524961,VitalChek,a0z4N000007FffBQAS
November 2020 Rent,940.0,,Housing,10/27/20,Paid,SHFS-TFC0000521953,Lenore Garden,a0z4N000007FdMfQAK
December 2020 Rent,740.0,,Housing,11/24/20,Paid,SHFS-TFC0000521953,Lenore Garden,a0z4N000007FdMgQAK
March 2021 Rent,140.0,,Housing,02/23/21,Paid,SHFS-TFC0000521953,Lenore Garden,a0z4N000007FdMjQAK
November 2021 Rent (grant change),825.0,,Housing,10/28/21,Paid,SHFS-TFC0000524992,Firemark Properties,a0z4N000007zJFrQAM
September Rent,809.0,,Housing,08/28/20,Paid,SHFS-TFC0000521956,,a0z4N000007Fd7qQAC
Rental Arrears (June and July),1738.0,,Housing,07/15/20,Paid,SHFS-TFC0000521954,,a0z4N000006iHhoQAE
ProRated Rent May,429.0,,Housing,05/18/21,Paid,SHFS-TFC0000524993,October Homes,a0z4N000007oU7dQAE
CPF Gas,25.0,,Other Assistance,04/29/20,Paid,SHFS-TFC0000524974,,a0z4N000006iHsTQAU
July 2021 Rent,900.0,,Housing,06/29/21,Paid,SHFS-TFC0000524993,October Homes,a0z4N000007oU7zQAE
November 2021 Rent,750.0,,Housing,10/28/21,Paid,SHFS-TFC0000524993,October Homes,a0z4N000007oU83QAE
June 2021 Nashville Electric Service- 1297331 0498064,161.0,,Housing,05/25/21,Paid,SHFS-TFC0000524993,Nashville Electric Service (NES),a0z4N000007oU7xQAE
Bus,4.0,,Other Assistance,04/25/20,Paid,SHFS-TFC0000524974,,a0z4N000006iHnyQAE
Bus,20.0,,Other Assistance,09/09/19,Paid,SHFS-TFC0000524974,,a0z4N000006iHnfQAE
DHS Walmart - 2 cards,50.0,,Other Assistance,09/09/19,Paid,SHFS-TFC0000524974,,a0z4N000006iHpEQAU
Gas,25.0,,Other Assistance,02/03/20,Paid,SHFS-TFC0000524952,,a0z4N000006iHsXQAU
Rent Balance,400.0,,Housing,09/13/21,Paid,SHFS-TFC0000524993,October Homes,a0z4N000007zGwWQAU
In Kind items given to,520.75,,Other Assistance,09/30/20,Paid,SHFS-TFC0000521953,,a0z4N000007FeM5QAK
Biltmore Application Fee,35.0,,Housing,02/02/22,Paid,SHFS-TFC0000524993,Biltmore Place Apartments,a0z4N000007zJHiQAM
October 2020 Rent,1040.0,,Housing,09/29/20,Paid,SHFS-TFC0000521953,Lenore Garden,a0z4N000007FdMdQAK
Utility Deposit,252.25,,Housing,05/19/21,Paid,SHFS-TFC0000524993,NES,a0z4N000007oUBJQA2
Deposit,1040.0,,Housing,09/15/20,Paid,SHFS-TFC0000521953,Lenore Garden,a0z4N000007FdNFQA0
Hotel additional charges,10.9,,Other Assistance,06/25/21,Paid,SHFS-TFC0000524992,ESA,a0z4N000007oUw9QAE
Deposit (grant change),1025.0,,Housing,07/20/21,Paid,SHFS-TFC0000524992,Firemark Properties,a0z4N000007zJFNQA2
Lock damage and missing key (money order),75.0,,Housing,07/09/21,Paid,SHFS-TFC0000524992,Pinnacle Bank,a0z4N000007oUyFQAU
September 2021 Rent,500.0,,Housing,08/24/21,Paid,SHFS-TFC0000524993,October Homes,a0z4N000007oU81QAE
November 2020 Nashville Electric Service- 1431909 0160851,156.0,,Housing,10/27/20,Paid,SHFS-TFC0000521953,Nashville Electric Service (NES),a0z4N000007FdMeQAK
Rental Arrears & fees,1355.39,,Housing,09/22/20,Paid,SHFS-TFC0000524973,Baker Station Apts,a0z4N000007FdVFQA0
Past Due rent & Fees (covid),646.85,,Housing,09/22/20,Paid,SHFS-TFC0000524954,Madison Towers,a0z4N000007FdVpQAK
MC/Visa Gard,100.0,,Other Assistance,03/09/20,Paid,SHFS-TFC0000524955,,a0z4N000006iHrTQAU
RTA Gas,25.0,,Other Assistance,03/09/20,Paid,SHFS-TFC0000524955,,a0z4N000006iHrSQAU
Target,25.0,,Other Assistance,06/03/20,Paid,SHFS-TFC0000521934,,a0z4N000006iHplQAE
Sept 2020 Rent,1000.0,,Housing,08/27/20,Paid,SHFS-TFC0000522573,Firemark,a0z4N000007Fd6dQAC
Jan 2021Rent,225.32,,Housing,01/07/21,Paid,SHFS-TFC0000522573,Firemark Properties,a0z4N000007Few1QAC
December 2020 Rent,1000.0,,Housing,11/24/20,Paid,SHFS-TFC0000522573,Firemark Properties,a0z4N000007FdNRQA0
In Kind Items given - Mattress,350.0,,Other Assistance,05/05/20,Paid,SHFS-TFC0000524961,,a0z4N000006iGs3QAE
October 2020 Rent,1000.0,,Housing,09/29/20,Paid,SHFS-TFC0000522573,Firemark Properties,a0z4N000007FdNPQA0
July Rent,854.0,,Housing,06/30/20,Paid,SHFS-TFC0000524961,Burning Tree Apartments,a0z4N000007oTFcQAM
Rental Arrears,2752.8,,Housing,06/04/21,Paid,SHFS-TFC0000524961,Burning Tree Apartments,a0z4N000007oUMyQAM
Rental Arrears,1733.0,,Housing,08/27/20,Paid,SHFS-TFC0000522573,Firemark,a0z4N000007Fd6iQAC
November 2020 Rent,1000.0,,Housing,10/27/20,Paid,SHFS-TFC0000522573,Firemark Properties,a0z4N000007FdNQQA0
8 one day bus passes,32.0,,Other Assistance,06/30/20,Paid,SHFS-TFC0000521932,,a0z4N000006iGx5QAE
2 cards,25.0,,Other Assistance,01/16/20,Paid,SHFS-TFC0000522573,,a0z4N000006iHqoQAE
In Kind Items given - Mattress,350.0,,Other Assistance,01/17/20,Paid,SHFS-TFC0000522573,,a0z4N000006iGs1QAE
November Rent and Arrears,880.0,,Housing,11/19/18,Paid,SHFS-TFC0000521935,,a0z610000044RJyAAM
Rental Deposit,800.0,,Housing,07/19/18,Paid,SHFS-TFC0000521935,,a0z610000044RM5AAM
July Pro Rated Rent,726.0,,Housing,07/19/18,Paid,SHFS-TFC0000521935,,a0z610000044RN3AAM
Rental Arrears,880.0,,Housing,09/17/18,Paid,SHFS-TFC0000521935,,a0z610000044RNIAA2
August Rent,800.0,,Housing,07/23/18,Paid,SHFS-TFC0000521935,,a0z610000044RMjAAM
February 2021 Rent,200.0,,Housing,02/03/21,Paid,SHFS-TFC0000524961,Burning Tree Apartments,a0z4N000007FfXhQAK
January 2021 rent,300.0,,Housing,01/28/21,Paid,SHFS-TFC0000524961,Burning Tree Apartments,a0z4N000007FfXcQAK
Portion of Rent,680.0,,Housing,10/12/18,Paid,SHFS-TFC0000521935,,a0z610000044RNSAA2
May 2021 Rent,0.0,,Housing,,Cancelled,SHFS-TFC0000521937,Summerwind,a0z4N000007FenUQAS
In Kind items given to,215.0,,Other Assistance,05/31/20,Paid,SHFS-TFC0000522573,,a0z4N000006iGs2QAE
Goodwill Gift Cards,100.0,,Other Assistance,11/04/20,Paid,SHFS-TFC0000521956,,a0z4N000007FeKmQAK
April 2021 Rent,50.0,,Housing,03/30/21,Paid,SHFS-TFC0000524961,Burning Tree Apartments,a0z4N000007oT5rQAE
In Kind items given to,361.0,,Other Assistance,06/30/20,Paid,SHFS-TFC0000521932,,a0z4N000006iHrxQAE
gas card,25.0,,Other Assistance,10/10/19,Paid,SHFS-TFC0000524955,,a0z4N000006iHrfQAE
Laptop,800.0,,,11/03/20,Paid,SHFS-TFC0000524961,Logical,a0z4N000007FdzOQAS
Walmar,25.0,,Other Assistance,12/23/19,Paid,SHFS-TFC0000524955,,a0z4N000006iHqfQAE
In Kind items given to,353.97,,Other Assistance,06/30/20,Paid,SHFS-TFC0000524961,,a0z4N000006iHs3QAE
DSH Gas - 3 cards,75.0,,Other Assistance,03/09/20,Paid,SHFS-TFC0000524955,,a0z4N000006iHovQAE
June Rent,854.0,,Housing,05/26/20,Paid,SHFS-TFC0000524961,Burning Tree Apartments,a0z4N000007oTFUQA2
In Kind items given to,513.0,,Other Assistance,05/31/20,Paid,SHFS-TFC0000524961,,a0z4N000006iGs4QAE
July Rent,-854.0,,Housing,06/30/20,Refund,SHFS-TFC0000524961,Burning Tree Apartments,a0z4N000007oTF1QAM
App Fee,50.0,,Housing,03/08/21,Paid,SHFS-TFC0000524963,Brooks Service,a0z4N000007oSteQAE
June Rent,-854.0,,Housing,05/26/20,Refund,SHFS-TFC0000524961,Burning Tree Apartments,a0z4N000007oTFhQAM
9 7-day bus passes,180.0,,Other Assistance,06/30/20,Paid,SHFS-TFC0000521932,,a0z4N000006iGxAQAU
MC/Visa (2),400.0,,Other Assistance,06/15/20,Paid,SHFS-TFC0000524948,,a0z4N000006iHpiQAE
kroger card,50.0,,Other Assistance,06/30/20,Paid,SHFS-TFC0000524948,,a0z4N000006iGxFQAU
Sept 2020 Additional Rent,600.0,,Housing,08/27/20,Paid,SHFS-TFC0000521932,Willow Pointe,a0z4N000007Fd6YQAS
March 2021 Rent,100.0,,Housing,02/23/21,Paid,SHFS-TFC0000524961,Burning Tree Apartments,a0z4N000007FfXdQAK
extra rental assistance,358.95,,Housing,06/30/20,Paid,SHFS-TFC0000521932,Willow Point,a0z4N000006iGwuQAE
December 2020 rent,811.0,,Housing,11/24/20,Paid,SHFS-TFC0000521932,Willow Pointe Apartments,a0z4N000007FdPBQA0
August Rent,322.15,,Housing,08/13/20,Paid,SHFS-TFC0000521932,Willow Pointe Apartments,a0z4N000007FcycQAC
November 2020 rent,811.0,,Housing,10/27/20,Paid,SHFS-TFC0000521932,Willow Pointe Apartments,a0z4N000007FdP6QAK
In Kind Items given - Mattress,350.0,,Other Assistance,04/28/20,Paid,SHFS-TFC0000521932,,a0z4N000006iGruQAE
In Kind items given to,215.0,,Other Assistance,05/31/20,Paid,SHFS-TFC0000521932,,a0z4N000006iGrvQAE
In Kind items given to,40.0,,Other Assistance,07/31/20,Paid,SHFS-TFC0000521932,,a0z4N000007FdAuQAK
Walmart,25.0,,Other Assistance,12/23/19,Paid,SHFS-TFC0000524948,,a0z4N000006iHq0QAE
Client Storage Rent,0.0,,Other Assistance,,Cancelled,SHFS-TFC0000522582,Public Storage Self-Storage,a0z4N000007zIhcQAE
App Fee,15.0,,Housing,11/12/21,Paid,SHFS-TFC0000522582,Forest Park Apartments (Bellevue),a0z4N000007zHu7QAE
Deposit,300.0,,Housing,11/12/21,Paid,SHFS-TFC0000522582,Forest Park Apartments (Bellevue),a0z4N000007zHuCQAU
Kroger,25.0,,Other Assistance,07/09/20,Paid,SHFS-TFC0000525015,,a0z4N000007FdBHQA0
Hotel 7.21-7.28.2020,90.0,,Other Assistance,07/21/20,Paid,SHFS-TFC0000525015,Hometowne Studios,a0z4N000006iHjsQAE
In Kind items given to,395.0,,Other Assistance,07/31/20,Paid,SHFS-TFC0000525015,,a0z4N000007FdBIQA0
Hotel7.14_7.21.2020,315.0,,Other Assistance,07/10/20,Paid,SHFS-TFC0000525015,Hometowne Studios,a0z4N000006iHf7QAE
Hotel 7.23-7.28.2020,225.0,,Other Assistance,07/21/20,Paid,SHFS-TFC0000525015,Hometowne Studios,a0z4N000007FdLAQA0
Birth Certificates,46.04,,Other Assistance,06/23/20,Paid,SHFS-TFC0000525015,Lentz Public Health,a0z4N000006iGwaQAE
Hotel 6.30-7.7.2020,315.0,,Other Assistance,07/07/20,Paid,SHFS-TFC0000525015,Hometowne Studios,a0z4N000006iH6OQAU
Hotel 6.23-6.30,315.0,,Other Assistance,06/23/20,Paid,SHFS-TFC0000525015,Hometowne Studios,a0z4N000006iGn9QAE
Hotel 8/18-8/25,315.0,,Other Assistance,08/18/20,Paid,SHFS-TFC0000525015,Hometowne Studios,a0z4N000007FdEFQA0
Hotel 8/11-8/18,315.0,,Other Assistance,08/11/20,Paid,SHFS-TFC0000525015,Hometowne Studios,a0z4N000007FdEGQA0
Hotel 4.18-4.24,220.0,,Other Assistance,04/29/21,Paid,SHFS-TFC0000525015,Extended Stay America,a0z4N000007oTtRQAU
Car Repairs,128.93,,Other Assistance,07/20/21,Paid,SHFS-TFC0000525015,The Mechanic,a0z4N000007oV7zQAE
Daycare payment,190.09,,Other Assistance,12/06/21,Paid,SHFS-TFC0000525015,Unique Kids Childcare Center,a0z4N000007zIFbQAM
Hotel 9/1-9/2,45.0,,Other Assistance,09/01/20,Paid,SHFS-TFC0000525015,Hometowne Studios,a0z4N000007FdE9QAK
Hotel 8/4-8/11,315.0,,Other Assistance,08/04/20,Paid,SHFS-TFC0000525015,Hometowne Studios,a0z4N000007FdEHQA0
Child infant to toddler rocker,34.98,,Other Assistance,12/11/20,Paid,SHFS-TFC0000525015,Amazon,a0z4N000007FfOTQA0
Rent & Late Fees,2501.08,,Housing,02/15/22,Paid,SHFS-TFC0000525007,Cedar Ridge,a0z4N000007zJYAQA2
Client Rent with Late Fees,2640.72,,Housing,11/12/21,Paid,SHFS-TFC0000525007,Cedar Ridge,a0z4N000007zHv0QAE
Deposit,883.0,,Housing,04/19/21,Paid,SHFS-TFC0000525007,Cedar Ridge Apartments,a0z4N000007oTPiQAM
May 2021 Rent,1083.0,,Housing,04/27/21,Paid,SHFS-TFC0000525007,Cedar Ridge,a0z4N000007oTOsQAM
Water/sewer arrears,25.62,,Housing,06/28/21,Paid,SHFS-TFC0000525007,Cedar Ridge Apartments,a0z4N000007oUnAQAU
In Kind items given to,674.91,,Other Assistance,09/30/20,Paid,SHFS-TFC0000525015,,a0z4N000007FeMIQA0
MC/Visa,20.0,,Other Assistance,07/27/20,Paid,SHFS-TFC0000525015,,a0z4N000007FdBGQA0
In Kind items given to,75.0,,Other Assistance,08/31/20,Paid,SHFS-TFC0000525015,,a0z4N000007FeMHQA0
In Kind Items given - Mattress,238.0,,Other Assistance,09/01/20,Paid,SHFS-TFC0000525015,,a0z4N000007FeMJQA0
Past Due Utilities & Fees (Covid),343.32,,Housing,11/24/20,Paid,SHFS-TFC0000525014,Metro Water,a0z4N000007FeGLQA0
Utility Deposit,250.0,,Housing,08/31/20,Paid,SHFS-TFC0000525015,NES,a0z4N000007Fd9NQAS
Utility Arrears,16.65,,Housing,08/31/20,Paid,SHFS-TFC0000525015,NES,a0z4N000007Fd9SQAS
Arrears payment,425.0,,Housing,03/08/22,Paid,SHFS-TFC0000525015,Hamilton Creek Apartments,a0z4N000007zJwoQAE
January 2021 Rent,-540.0,,Housing,12/22/20,Refund,SHFS-TFC0000525015,Hamilton Creek Apartments,a0z4N000007oTF0QAM
February 2021 Rent,-340.0,,Housing,01/26/21,Refund,SHFS-TFC0000525015,Hamilton Creek Apartments,a0z4N000007oTFXQA2
February 2021 Rent,340.0,,Housing,01/26/21,Paid,SHFS-TFC0000525015,Hamilton Creek Apartments,a0z4N000007oTFTQA2
Rent arrears,500.0,,Housing,01/10/22,Paid,SHFS-TFC0000525015,Hamilton Creek Apartments,a0z4N000007zIsiQAE
January 2021 Rent,540.0,,Housing,12/22/20,Paid,SHFS-TFC0000525015,Hamilton Creek Apartments,a0z4N000007oTFSQA2
April 2021 Rent,200.0,,Housing,03/30/21,Paid,SHFS-TFC0000525015,Hamilton Creek Apartments,a0z4N000007Fd6NQAS
September 2021 Rent,400.0,,Housing,08/24/21,Paid,SHFS-TFC0000525007,Cedar Ridge,a0z4N000007oTOwQAM
Deposit,350.0,,Housing,08/31/20,Paid,SHFS-TFC0000525015,Hamilton Creek,a0z4N000007Fd9IQAS
December 2020 Rent,740.0,,Housing,11/24/20,Paid,SHFS-TFC0000525015,Hamilton Creek Apartments,a0z4N000007Fd6JQAS
App Fee,35.0,,Housing,07/14/20,Paid,SHFS-TFC0000525015,Hamilton Creek,a0z4N000006iHfMQAU
January 2021 Rent,540.0,,Housing,12/22/20,Paid,SHFS-TFC0000525015,Hamilton Creek Apartments,a0z4N000007Fd6KQAS
November 2020 rent,940.0,,Housing,10/27/20,Paid,SHFS-TFC0000525015,Hamilton Creek Apartments,a0z4N000007FdQoQAK
October Nashville Electric Service- 1071533 0455658,154.0,,Housing,09/29/20,Paid,SHFS-TFC0000525015,Nashville Electric Service (NES),a0z4N000007Fd6HQAS
March 2021 Rent,140.0,,Housing,02/23/21,Paid,SHFS-TFC0000525015,Hamilton Creek Apartments,a0z4N000007Fd6MQAS
October Rent,940.0,,Housing,11/05/20,Paid,SHFS-TFC0000525015,Hamilton Creek Apartments,a0z4N000007Fd6IQAS
October Metro Water Services- Act #178064305,96.0,,Housing,09/29/20,Paid,SHFS-TFC0000525015,Metro Water Services,a0z4N000007Fd6GQAS
Sept Rent 2020,940.0,,Housing,08/31/20,Paid,SHFS-TFC0000525015,Hamilton Creek,a0z4N000007Fd9DQAS
Book shelves and office chair,184.62,,,10/06/20,Paid,SHFS-TFC0000525015,Walmart,a0z4N000007FeyMQAS
February 2021 Rent,340.0,,Housing,01/26/21,Paid,SHFS-TFC0000525015,Hamilton Creek Apartments,a0z4N000007Fd6LQAS
Past Due Utilities & Fees (Covid),690.7,,Housing,11/05/20,Paid,SHFS-TFC0000525014,NES,a0z4N000007FdzyQAC
June 2021 Rent,1083.0,,Housing,05/25/21,Paid,SHFS-TFC0000525007,Cedar Ridge,a0z4N000007oTOtQAM
Rent,691.69,,Housing,08/20/21,Paid,SHFS-TFC0000525007,Cedar Ridge,a0z4N000007zGfkQAE
November 2022 Rent,0.0,,Housing,,Planned,SHFS-TFC0000522585,Firemark Properties,a0z4N000007zJlGQAU
August 2022 Rent,763.0,,Housing,,Planned,SHFS-TFC0000522585,Firemark Properties,a0z4N000007zJlDQAU
June 2022 Rent,1113.0,,Housing,,Planned,SHFS-TFC0000522585,Firemark Properties,a0z4N000007zJlBQAU
July 2022 Rent,963.0,,Housing,,Planned,SHFS-TFC0000522585,Firemark Properties,a0z4N000007zJlCQAU
April Metro Water Services- 103128318,78.0,,Housing,03/29/22,Paid,SHFS-TFC0000522585,Metro Water Services,a0z4N000007zJl8QAE
March 2022 Rent,1250.0,,Housing,02/28/22,Paid,SHFS-TFC0000522585,Firemark Properties,a0z4N000007zJkiQAE
April 2022 Nashville Electric Service (NES)- 1235762-0080030,131.0,,Housing,03/29/22,Paid,SHFS-TFC0000522585,Nashville Electric Service (NES),a0z4N000007zJl7QAE
Rental Arrears for tenant damages,217.0,,Housing,12/01/21,Paid,SHFS-TFC0000522585,Skyview Apartments,a0z4N000007zI3TQAU
App Fee,35.0,,Housing,11/30/21,Paid,SHFS-TFC0000522585,Uptown Flats,a0z4N000007zI6FQAU
April 2022 Rent,1263.0,,Housing,03/29/22,Paid,SHFS-TFC0000522585,Firemark Properties,a0z4N000007zJl9QAE
Deposit,2500.0,,Housing,02/28/22,Paid,SHFS-TFC0000522585,Firemark Properties,a0z4N000007zJkTQAU
Duplicate ID,12.0,,Other Assistance,12/16/21,Paid,SHFS-TFC0000522585,TN Department of Safety and Homeland Security,a0z4N000007zIT8QAM
Additional hotel fee,273.13,,Other Assistance,12/21/21,Paid,SHFS-TFC0000522585,Extended Stay America,a0z4N000007zIWuQAM
LaQuinta Hotel Stay,536.0,,Other Assistance,03/08/22,Paid,SHFS-TFC0000522585,LaQuinta by Wyndham Nashville Airport,a0z4N000007zK1OQAU
Utility Deposit,333.0,,Housing,01/20/21,Paid,SHFS-TFC0000521985,Piedmont Natural Gas,a0z4N000007FfSqQAK
Utility Deposit,100.0,,Housing,02/09/21,Paid,SHFS-TFC0000521985,Metro Water,a0z4N000007FfgLQAS
Utility Deposit,252.25,,Housing,12/28/20,Paid,SHFS-TFC0000521985,NES,a0z4N000007Fes3QAC
June 2021 Rent,0.0,,Housing,,Cancelled,SHFS-TFC0000521985,Barrett Realty,a0z4N000007FenGQAS
Appliances,1045.96,,Housing,12/23/20,Paid,SHFS-TFC0000521985,Lowe's,a0z4N000007FerjQAC
Appliances- credit for cord,-25.98,,Housing,12/23/20,Paid,SHFS-TFC0000521985,Lowe's,a0z4N000007FfNYQA0
App Fee,10.0,,Housing,,Cancelled,SHFS-TFC0000521985,Barrett Realty,a0z4N000007FejPQAS
October 2022 Rent,363.0,,Housing,,Planned,SHFS-TFC0000522585,Firemark Properties,a0z4N000007zJlFQAU
May 2022 Rent,1263.0,,Housing,,Planned,SHFS-TFC0000522585,Firemark Properties,a0z4N000007zJlAQAU
September 2022 Rent,563.0,,Housing,,Planned,SHFS-TFC0000522585,Firemark Properties,a0z4N000007zJlEQAU
NES Past Due Balance (527.19) and Deposit (252.25),779.44,,Housing,02/28/22,Paid,SHFS-TFC0000522585,Nashville Electric Service (NES),a0z4N000007zJknQAE
August 2021 Rent,600.0,,Housing,07/27/21,Paid,SHFS-TFC0000525007,Cedar Ridge,a0z4N000007oTOvQAM
July 2021 Rent,800.0,,Housing,06/29/21,Paid,SHFS-TFC0000525007,Cedar Ridge,a0z4N000007oTOuQAM
ProRated Rent April,433.0,,Housing,04/19/21,Paid,SHFS-TFC0000525007,Cedar Ridge Apartments,a0z4N000007oTPdQAM
Past Due Rent & Late Fees,1740.45,,Housing,12/13/21,Paid,SHFS-TFC0000525007,Cedar Ridge,a0z4N000007zILfQAM
Hotel 4.11-4.17.21,216.0,,Other Assistance,04/29/21,Paid,SHFS-TFC0000525007,Extended Stay America,a0z4N000007oTsXQAU
Hotel 4.18-4.24,162.0,,Other Assistance,04/29/21,Paid,SHFS-TFC0000525007,Extended Stay America,a0z4N000007oTtQQAU
Holding fee_voided,-100.0,,Housing,12/15/20,Refund,SHFS-TFC0000522584,The Preserve at Highland Ridge,a0z4N000007FfY1QAK
App Fee,23.0,,Housing,12/15/20,Paid,SHFS-TFC0000522584,The Preserve at Highland Ridge,a0z4N000007FegkQAC
Holding fee,100.0,,Housing,12/15/20,Paid,SHFS-TFC0000522584,The Preserve at Highland Ridge,a0z4N000007FeglQAC
Clothing for school,50.0,,,08/09/21,Paid,SHFS-TFC0000522584,Old Navy,a0z4N000007zGvdQAE
October 2021 Rent,200.0,,Housing,09/28/21,Paid,SHFS-TFC0000525007,Cedar Ridge,a0z4N000007oTOxQAM
Hotel 12.15-12.22,294.0,,Other Assistance,12/15/20,Paid,SHFS-TFC0000522584,Hometowne Studios,a0z4N000007FehsQAC
Hotel  12.29-1.4.2021,294.0,,Other Assistance,12/29/20,Paid,SHFS-TFC0000522584,Hometowne Studios,a0z4N000007FetKQAS
Hotel 11.18-11.24,252.0,,Other Assistance,11/17/20,Paid,SHFS-TFC0000522584,Hometowne Studios,a0z4N000007FePoQAK
Hotel 11.24-12.1,294.0,,Other Assistance,11/24/20,Paid,SHFS-TFC0000522584,Hometowne Studios,a0z4N000007FePaQAK
Car Repairs,479.67,,Other Assistance,12/10/21,Paid,SHFS-TFC0000522584,Bass Tire,a0z4N000007zIJoQAM
Hotel 12.22-12.29,294.0,,Other Assistance,12/22/20,Paid,SHFS-TFC0000522584,Hometowne Studios,a0z4N000007FesXQAS
Hotel 12.1-12.8,294.0,,Other Assistance,12/01/20,Paid,SHFS-TFC0000522584,Hometowne Studios,a0z4N000007FfNdQAK
Hotel 12.8-12.15,294.0,,Other Assistance,12/08/20,Paid,SHFS-TFC0000522584,Hometowne Studios,a0z4N000007FePtQAK
Lyft,16.99,,Other Assistance,02/09/21,Paid,SHFS-TFC0000522584,Lyft,a0z4N000007FfkOQAS
Lyft,16.35,,Other Assistance,02/09/21,Paid,SHFS-TFC0000522584,Lyft,a0z4N000007FfkFQAS
App Fee Firemark,50.0,,Housing,02/25/22,Paid,SHFS-TFC0000522585,Firemark Properties,a0z4N000007zJiwQAE
Tow Car,75.0,,Other Assistance,04/14/21,Paid,SHFS-TFC0000522584,Mike's Towing,a0z4N000007oUFSQA2
Air Mattress for hotel,41.45,,Other Assistance,12/20/21,Paid,SHFS-TFC0000521987,Walmart,a0z4N000007zIVRQA2
ID,12.0,,Housing,01/27/22,Paid,SHFS-TFC0000521987,TN department of Safety,a0z4N000007zJAXQA2
Application Fee,25.0,,Housing,03/02/22,Paid,SHFS-TFC0000521987,Nashwood Park,a0z4N000007zJqXQAU
Kroger - 2 cards,50.0,,Other Assistance,01/29/20,Paid,SHFS-TFC0000522632,,a0z4N000006iHqyQAE
Birth Certificate for daughter,15.34,,Other Assistance,07/30/21,Paid,SHFS-TFC0000522586,Vital Records,a0z4N000007zGXCQA2
Birth Certificate,28.0,,Other Assistance,06/15/21,Paid,SHFS-TFC0000522586,County of LA-Vital Records,a0z4N000007oUaSQAU
Birth Certificate_refunded,-28.0,,Other Assistance,06/15/21,Refund,SHFS-TFC0000522586,County of LA-Vital Records,a0z4N000007oV14QAE
September 2018 rent,1094.0,,Housing,08/28/18,Paid,SHFS-TFC0000521996,MVP Investors,a0z610000044Nc7AAE
August 2018 rent,1094.0,,Housing,07/31/18,Paid,SHFS-TFC0000521996,MVP Investors,a0z610000044Nc2AAE
April 2021 Rent,0.0,,Housing,,Cancelled,SHFS-TFC0000521998,Willow Pointe Apartments,a0z4N000007FeaTQAS
Utility Deposit,252.25,,Housing,12/10/20,Paid,SHFS-TFC0000521998,NES,a0z4N000007FeaKQAS
App Fee,35.0,,Housing,11/10/20,Paid,SHFS-TFC0000521998,Willow Pointe,a0z4N000007Fe2iQAC
ProRated Dec Rent,425.81,,Housing,12/10/20,Paid,SHFS-TFC0000521998,Willow Pointe,a0z4N000007FeaZQAS
July 2021 Rent,200.0,,Housing,06/29/21,Paid,SHFS-TFC0000521998,Willow Pointe Apartments,a0z4N000007oUMEQA2
Rental Deposit,600.0,,Housing,12/10/20,Paid,SHFS-TFC0000521998,Willow Pointe,a0z4N000007FeaUQAS
February 2021 Rent,400.0,,Housing,01/26/21,Paid,SHFS-TFC0000521998,Willow Pointe Apartments,a0z4N000007FeaRQAS
June Rent,600.0,,Housing,06/04/21,Paid,SHFS-TFC0000521998,Willow Pointe Apartments,a0z4N000007oUNRQA2
January 2021 Rent,600.0,,Housing,12/22/20,Paid,SHFS-TFC0000521998,Willow Pointe Apartments,a0z4N000007FeaQQAS
March 2021 Rent,200.0,,Housing,02/23/21,Paid,SHFS-TFC0000521998,Willow Pointe Apartments,a0z4N000007FeaSQAS
August 2021 Rent,400.0,,Housing,07/27/21,Paid,SHFS-TFC0000521998,Willow Pointe Apartments,a0z4N000007oUMFQA2
September 2021 Rent,600.0,,Housing,08/24/21,Paid,SHFS-TFC0000521998,Willow Pointe Apartments,a0z4N000007oUMGQA2
January 2021 Nashville Electric Service- 14942730364879,151.0,,Housing,12/22/20,Paid,SHFS-TFC0000521998,Nashville Electric Service (NES),a0z4N000007FeaPQAS
Childcare,585.0,,Other Assistance,12/22/20,Paid,SHFS-TFC0000521998,Bell Road KinderCare,a0z4N000007FekqQAC
Bus ticket to Nashville,157.98,,Other Assistance,12/21/21,Paid,SHFS-TFC0000521998,Greyhound,a0z4N000007zIWeQAM
In Kind items given to,871.75,,Other Assistance,05/31/20,Paid,SHFS-TFC0000522632,,a0z4N000006iGt6QAE
DHS Gas - 2 cards,50.0,,Other Assistance,02/26/20,Paid,SHFS-TFC0000522632,,a0z4N000006iHofQAE
DHS Gas,25.0,,Other Assistance,02/19/20,Paid,SHFS-TFC0000522632,,a0z4N000006iHoeQAE
2 cards,50.0,,Other Assistance,03/04/20,Paid,SHFS-TFC0000522231,,a0z4N000006iHr8QAE
Birth Certificate,28.45,,Other Assistance,12/17/18,Paid,SHFS-TFC0000525241,,a0z610000044ZgRAAU
